"Lect_vs_Lect","Distance"
"Akajeru vs. Manchu",1.55132507283884
"Akajeru vs. Mandarin Chinese",2.86065329415061
"Akajeru vs. Mang",2.47008356530037
"Akajeru vs. Mangghuer",4.7144243727006
"Akajeru vs. Manipuri",4.96568197122231
"Akajeru vs. Mao Naga",3.61061189967521
"Akajeru vs. Maonan",4.88700229991295
"Akajeru vs. Maram Naga",4.73582329650388
"Akajeru vs. Marathi",2.05912630437909
"Akajeru vs. Marwari (India)",4.57502146229318
"Akajeru vs. Mewati",4.89667272228374
"Akajeru vs. Milang",2.76879750452823
"Akajeru vs. Min Bei Chinese",2.42912948241692
"Akajeru vs. Min Nan Chinese",2.48577991355956
"Akajeru vs. Miyako",3.17755349424255
"Akajeru vs. Mlabri",2.58264484588565
"Akajeru vs. Modern Greek",2.33800298103596
"Akajeru vs. Moken",2.06778648062421
"Akajeru vs. Mon",1.6971488072144
"Akajeru vs. Mongghul",2.14236813503469
"Akajeru vs. Moyon",4.6100354387613
"Akajeru vs. Muduga",4.11112032014414
"Akajeru vs. Mulam",3.09895347171148
"Akajeru vs. Mundari",1.99761542419571
"Akajeru vs. Nanai",1.17017443600631
"Akajeru vs. Narua",3.81143717228515
"Akajeru vs. Naukan Yupik",4.32723752517557
"Akajeru vs. Negidal",1.97866914638677
"Akajeru vs. Neo-Mandaic",3.56726279185358
"Akajeru vs. Nepali",4.8225666593307
"Akajeru vs. Nganasan",2.06230127264627
"Akajeru vs. Nihali",4.54835143393327
"Akajeru vs. Nimadi",2.83960810402081
"Akajeru vs. Nocte Naga",5.00629557101094
"Akajeru vs. North Azerbaijani",4.62617417365051
"Akajeru vs. North-Central Dargwa",4.56976153807557
"Akajeru vs. Northeastern Thai",2.96317046053456
"Akajeru vs. Northern Jinghpaw",2.61421399443892
"Akajeru vs. Northern Pashto",3.23839198240481
"Akajeru vs. Northern Pinghua",2.37259913668571
"Akajeru vs. Northern Pumi",4.58625302104987
"Akajeru vs. Northern Thai",3.16789261244582
"Akajeru vs. Northern Yukaghir",4.09816042340282
"Akajeru vs. Northwestern Kolami",4.63754217815498
"Akajeru vs. Nung (Myanmar)",2.82710589459769
"Akajeru vs. Nuristani Kalasha",4.32388433993487
"Akajeru vs. Nyahkur",2.76100472899692
"Akajeru vs. Odia",1.26202007109385
"Akajeru vs. Oki-No-Erabu",3.01270916919547
"Akajeru vs. Oroch",1.02762822462462
"Akajeru vs. Ostfränkisch",6.43441730656656
"Akajeru vs. Pa-Hng",4.74218616887659
"Akajeru vs. Pacoh",1.97805855690696
"Akajeru vs. Paite Chin",2.36765211544872
"Akajeru vs. Pela",2.63364838988028
"Akajeru vs. Peripheral Mongolian",2.30132926533504
"Akajeru vs. Phom Naga",2.6338398599969
"Akajeru vs. Piemontese",4.93063966423193
"Akajeru vs. Pite Saami",2.86390517022214
"Akajeru vs. Pnar",2.89860270689641
"Akajeru vs. Pontic",4.53027557299186
"Akajeru vs. Portuguese",2.16414833630839
"Akajeru vs. Pu-Xian Chinese",2.70614523637239
"Akajeru vs. Purik-Sham-Nubra",4.90613525545858
"Akajeru vs. Pwo Eastern Karen",3.57681065462094
"Akajeru vs. Rabha",2.57359852270733
"Akajeru vs. Rajbanshi",1.4556184456632
"Akajeru vs. Ravula",4.06026309204331
"Akajeru vs. Russia Buriat",1.5802506516754
"Akajeru vs. Russian",4.50553470303266
"Akajeru vs. Rutul",4.51777666242657
"Akajeru vs. Sadri",4.24923114458229
"Akajeru vs. Sadu",2.84981644851718
"Akajeru vs. Sakha",1.98880958966136
"Akajeru vs. Sangkong",3.08331442817581
"Akajeru vs. Sani",5.07870036372643
"Akajeru vs. Santali",1.15645647076433
"Akajeru vs. Saurashtra",4.46861272539818
"Akajeru vs. Sedang",2.28173861444203
"Akajeru vs. Selkup",4.01112888986961
"Akajeru vs. Semelai",4.0644694353814
"Akajeru vs. Shixing",2.84671597204948
"Akajeru vs. Sholaga",4.21260931703936
"Akajeru vs. Sichuan Yi",5.3748231917649
"Akajeru vs. Sikkimese",2.87423325690427
