Lect_vs_Lect,Distance
Akajeru vs. Nuristani Kalasha,4.32399156439802
Akajeru vs. Nyahkur,2.76144169057819
Akajeru vs. Odia,1.26205455376008
Akajeru vs. Oki-No-Erabu,3.0068936460069
Akajeru vs. Oroch,1.02768520705221
Akajeru vs. Ostfränkisch,6.43473452110537
Akajeru vs. Pa-Hng,4.73841618499515
Akajeru vs. Pacoh,1.97807961985204
Akajeru vs. Paite Chin,2.35997158185936
Akajeru vs. Pela,2.62673844771647
Akajeru vs. Peripheral Mongolian,2.3013497184294
Akajeru vs. Phom Naga,2.62693390039304
Akajeru vs. Piemontese,4.93098956807868
Akajeru vs. Pite Saami,2.86402545508926
Akajeru vs. Pnar,2.89899366756101
Akajeru vs. Pontic,4.5304218464057
Akajeru vs. Portuguese,2.16425228903137
Akajeru vs. Pu-Xian Chinese,2.69943370321076
Akajeru vs. Purik-Sham-Nubra,4.90655824476137
Akajeru vs. Pwo Eastern Karen,3.57199839468598
Akajeru vs. Rabha,2.56657976679503
Akajeru vs. Rajbanshi,1.45564599834262
Akajeru vs. Ravula,4.06027381015516
Akajeru vs. Russia Buriat,1.58029863477782
Akajeru vs. Russian,4.50628536125813
Akajeru vs. Rutul,4.51781093726597
Akajeru vs. Sadri,4.24924058311883
Akajeru vs. Sadu,2.84343442061873
Akajeru vs. Sakha,1.98884109897042
Akajeru vs. Sangkong,3.0775251586584
Akajeru vs. Sani,5.07512299477638
Akajeru vs. Santali,1.15647597841963
Akajeru vs. Saurashtra,4.46872266990306
Akajeru vs. Sedang,2.28220633958958
Akajeru vs. Selkup,4.01114451300019
Akajeru vs. Semelai,4.06448384274048
Akajeru vs. Shixing,2.8404290300879
Akajeru vs. Sholaga,4.21264810775505
Akajeru vs. Sichuan Yi,5.37161512223003
Akajeru vs. Sikkimese,2.8679525658821
Akajeru vs. Sindhi,4.25153368148702
Akajeru vs. Sinhala,1.23790108545174
Akajeru vs. Situ,5.18909311433509
Akajeru vs. Solu-Khumbu Sherpa,4.56950676126251
Akajeru vs. Sora,1.67908862895745
Akajeru vs. South Azerbaijani,4.09502935851768
Akajeru vs. South Wa,1.58281786332506
Akajeru vs. Southeast Pashayi,2.58348577367668
Akajeru vs. Southern Altai,4.08237728258502
Akajeru vs. Southern Amami-Oshima,1.96418254967621
Akajeru vs. Southern Jinghpaw,2.95429145328513
Akajeru vs. Southern Pashto,3.02329428723676
Akajeru vs. Southern Pumi,2.72792661660589
Akajeru vs. Southern Qiang,2.42027058631015
Akajeru vs. Southern Rengma Naga,2.59457501887455
Akajeru vs. Southern Yukaghir,4.14291203755926
Akajeru vs. Southwestern Dargwa,4.6762259245862
Akajeru vs. Sri Lanka Malay,4.27664109776858
Akajeru vs. Standard Malay,4.10803815371336
Akajeru vs. Stau-Dgebshes,3.41594087301229
Akajeru vs. Sui,3.02226903052669
Akajeru vs. Sunwar,1.88737600753188
Akajeru vs. Tai Do-Mene-Yo,2.99040056875613
Akajeru vs. Tamil,2.46585480679148
Akajeru vs. Tangam,4.32191125148564
Akajeru vs. Tatar,4.17510508883393
